version,Macbook,Macbook Air,Macbook Pro,Mac Mini,Mac Pro,iMac,iMac Pro,Support End
10.8,2008,2008,2007,2009,2008,2007,,Sep-15
10.9,2008,2008,2007,2009,2008,2007,,Sep-16
10.10,2008,2008,2007,2009,2008,2007,,Aug-17
10.11,2008,2008,2007,2009,2008,2007,,Sep-18
10.12,2009,2010,2010,2010,2010,2009,,Oct-19
10.13,2009,2010,2010,2010,2010,2009,2017,Dec-20
10.14,2015,2012,2012,2012,2013,2012,2017,Sep-21
10.15,2015,2012,2012,2012,2013,2012,2017,Sep-22
11.x,2015,2013,2013,2014,2013,2014,2017,
12.x,2016,2015,2015,2014,2013,2015,2017,
13.x,2017,2018,2017,2018,2019,2017,2017,
