version,Macbook,Macbook Air,Macbook Pro,Mac Mini,Mac Pro,Mac Studio,iMac,iMac Pro,EOL,url
10.8,2008,2008,2007,2009,2008,,2007,,2015,
10.9,2008,2008,2007,2009,2008,,2007,,2016,
10.1,2008,2008,2007,2009,2008,,2007,,2017,
10.11,2008,2008,2007,2009,2008,,2007,,2018,
10.12,2009,2010,2010,2010,2010,,2009,,2019,
10.13,2009,2010,2010,2010,2010,,2009,2017,2020,
10.14,2015,2012,2012,2012,2013,,2012,2017,2021,
10.15,2015,2012,2012,2012,2013,,2012,2017,2022,
11.x,2015,2013,2013,2014,2013,,2014,2017,2023,https://support.apple.com/en-us/111980
12.x,2016,2015,2015,2014,2013,2022,2015,2017,2024,https://support.apple.com/en-us/103260
13.x,2017,2018,2017,2018,2019,2022,2017,2017,,https://support.apple.com/en-us/102861
14.x,,2018,2018,2018,2019,2022,2019,2017,,https://support.apple.com/en-us/105113
15.x,,2020,2018,2018,2019,2022,2019,2017,,https://support.apple.com/en-us/120282
26.x,,2020,2020,2020,2019,2022,2020,,,
